identifier,compound,substructure_family,sample_form,Tc_anchor_K,Tc_provenance,Hc2_anchor_T,Hc2_provenance,n_Jc_points,contribution_flag
1108.0407v1,Fe9Se8,iron_chalcogenide_11,not recorded,8.0,paper-reported (v3.2.1 / Cohort A vision pass),8.0,literature catalog (substructure reference; no per-paper extraction),66,fully fittable
2511.19058v1,FeSe,iron_chalcogenide_11,not recorded,8.0,paper-reported (v3.2.1 / Cohort A vision pass),17.5,literature catalog (substructure reference; no per-paper extraction),76,fully fittable
0907.0147v2,Fe2TeSe,iron_chalcogenide_11,not recorded,14.5,paper-reported (v3.2.1 / Cohort A vision pass),50.0,literature catalog (substructure reference; no per-paper extraction),70,fully fittable
1002.0248v1,Fe2TeSe,iron_chalcogenide_11,not recorded,14.5,paper-reported (v3.2.1 / Cohort A vision pass),50.0,literature catalog (substructure reference; no per-paper extraction),91,fully fittable
1104.0477v2,Fe2TeSe,iron_chalcogenide_11,not recorded,14.5,paper-reported (v3.2.1 / Cohort A vision pass),50.0,literature catalog (substructure reference; no per-paper extraction),76,fully fittable
1111.3923v1,Fe2TeSe,iron_chalcogenide_11,not recorded,14.5,paper-reported (v3.2.1 / Cohort A vision pass),50.0,literature catalog (substructure reference; no per-paper extraction),27,fully fittable
1611.08455v1,Fe2TeSe,iron_chalcogenide_11,not recorded,14.5,paper-reported (v3.2.1 / Cohort A vision pass),50.0,literature catalog (substructure reference; no per-paper extraction),60,fully fittable
2110.15577v1,KBa(FeAs)4,iron_pnictide_122,not recorded,38.0,paper-reported (v3.2.1 / Cohort A vision pass),50.0,literature catalog (substructure reference; no per-paper extraction),51,fully fittable
1009.4896v1,LiFeAs,iron_pnictide_111,not recorded,18.0,paper-reported (v3.2.1 / Cohort A vision pass),17.0,literature catalog (substructure reference; no per-paper extraction),55,fully fittable
1108.5583v3,LiFeAs,iron_pnictide_111,not recorded,18.0,paper-reported (v3.2.1 / Cohort A vision pass),17.0,literature catalog (substructure reference; no per-paper extraction),30,fully fittable
10.1016/j.jallcom.2023.170384,LaFeAsO,iron_pnictide_1111,single_crystal,26.0,paper-reported (Cohort B extraction),9.2,Tier_1_direct_match_at_2.0K_term_both_Hc2_and_H_irr,24,Cohort B only (β_H partial)
MAGLAB_La1111_4_2K,LaFeAsO_F_doped,iron_pnictide_1111,thin_film,26.0,paper-reported (Cohort B extraction),50.25,Tier_2_per_substructure_Hirr_ratio_0.6,14,Cohort B only (β_H partial)
MAGLAB_Nd1111_10K,NdFeAsO_F_doped,iron_pnictide_1111,thin_film,50.0,paper-reported (Cohort B extraction),115.2,Tier_2_per_substructure_Hirr_ratio_0.6,72,Cohort B only (β_H partial)
MAGLAB_Nd1111_4_2K,NdFeAsO_F_doped,iron_pnictide_1111,thin_film,50.0,paper-reported (Cohort B extraction),119.15,Tier_2_per_substructure_Hirr_ratio_0.6,10,Cohort B only (β_H partial)
10.1016/j.physc.2011.02.004,PrFeAsO0.6F0.12,iron_pnictide_1111,polycrystal,51.0,paper-reported (Cohort B extraction),24.4013,Tier_1_paper_Hirr_at_7.0K_arXiv_1002.0208_Eq5,356,Cohort B only (β_H partial)
10.1016/j.physc.2009.05.098,SmFeAsO0.8F0.2,iron_pnictide_1111,polycrystal,55.0,paper-reported (Cohort B extraction),86.0,Tier_3_literature_default,234,Cohort B only (β_H partial)
MAGLAB_Sm1111_4_2K,SmFeAsO_F_doped,iron_pnictide_1111,thin_film,55.0,paper-reported (Cohort B extraction),51.3,Tier_2_per_substructure_Hirr_ratio_0.6,44,Cohort B only (β_H partial)
2305.10034v1,La2FeAs2O,iron_pnictide_1111,not recorded,28.0,paper-reported (v3.2.1 / Cohort A vision pass),10.0,literature catalog (substructure reference; no per-paper extraction),39,fully fittable
1003.0946v2,Nd2FeAs2O,iron_pnictide_1111,not recorded,51.0,paper-reported (v3.2.1 / Cohort A vision pass),70.0,literature catalog (substructure reference; no per-paper extraction),130,fully fittable
1002.0208v2,Pr2FeAs2O,iron_pnictide_1111,not recorded,51.0,paper-reported (v3.2.1 / Cohort A vision pass),70.0,literature catalog (substructure reference; no per-paper extraction),119,fully fittable
2510.10264v1,Pr2FeAs2O,iron_pnictide_1111,not recorded,51.0,paper-reported (v3.2.1 / Cohort A vision pass),70.0,literature catalog (substructure reference; no per-paper extraction),52,fully fittable
0806.2839v1,Sm2FeAs2O,iron_pnictide_1111,not recorded,55.0,paper-reported (v3.2.1 / Cohort A vision pass),70.0,literature catalog (substructure reference; no per-paper extraction),44,fully fittable
0904.2442v1,Sm2FeAs2O,iron_pnictide_1111,not recorded,55.0,paper-reported (v3.2.1 / Cohort A vision pass),70.0,literature catalog (substructure reference; no per-paper extraction),11,fully fittable
10.1016/j.mtphys.2022.100783,"Ba(Fe,Co)2As2",iron_pnictide_122,polycrystal,22.0,paper-reported (Cohort B extraction),4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,82,Cohort B only (β_H partial)
MAGLAB_Co122_4_2K,"Ba(Fe,Co)2As2",iron_pnictide_122,thin_film,22.0,paper-reported (Cohort B extraction),39.89,Tier_2_per_substructure_Hirr_ratio_0.6,18,Cohort B only (β_H partial)
10.1016/j.phpro.2012.03.421,"Ba(Fe,Ru)2As2",iron_pnictide_122,single_crystal,20.0,paper-reported (Cohort B extraction),15.3,Tier_1_extrapolated_to_low_T_anchor_15.0K,6,Cohort B only (β_H partial)
10.1016/j.physc.2009.11.051,Ba(Fe0.93Co0.07)2As2,iron_pnictide_122,single_crystal,22.0,paper-reported (Cohort B extraction),2.5,Tier_1_direct_match_at_2.0K_term_Hc2,26,Cohort B only (β_H partial)
10.1016/j.physc.2009.03.028,Ba(Fe1-xCox)2As2,iron_pnictide_122,single_crystal,22.0,paper-reported (Cohort B extraction),50.0,Tier_3_literature_default,54,Cohort B only (β_H partial)
10.1016/j.phpro.2015.06.160,BaFe2As2,iron_pnictide_122,single_crystal,20.0,paper-reported (Cohort B extraction),9.0,Tier_1_direct_match_at_17.7K_term_Hc2,24,Cohort B only (β_H partial)
10.1016/j.physc.2014.03.020,BaFe2As2,iron_pnictide_122,wire,20.0,paper-reported (Cohort B extraction),60.0,Tier_3_literature_default,11,Cohort B only (β_H partial)
MAGLAB_Ni122_4_2K,BaFe2_NiAs2,iron_pnictide_122,thin_film,20.0,paper-reported (Cohort B extraction),24.09,Tier_2_per_substructure_Hirr_ratio_0.6,24,Cohort B only (β_H partial)
MAGLAB_P122_4_2K,BaFe2_PAs2,iron_pnictide_122,thin_film,30.0,paper-reported (Cohort B extraction),20.59,Tier_2_per_substructure_Hirr_ratio_0.6,30,Cohort B only (β_H partial)
0903.0004v2,Ba(FeAs)2,iron_pnictide_122,not recorded,38.0,paper-reported (v3.2.1 / Cohort A vision pass),60.0,literature catalog (substructure reference; no per-paper extraction),45,fully fittable
0906.0444v1,Ba(FeAs)2,iron_pnictide_122,not recorded,38.0,paper-reported (v3.2.1 / Cohort A vision pass),60.0,literature catalog (substructure reference; no per-paper extraction),88,fully fittable
1109.5479v1,Ba(FeAs)2,iron_pnictide_122,not recorded,38.0,paper-reported (v3.2.1 / Cohort A vision pass),60.0,literature catalog (substructure reference; no per-paper extraction),57,fully fittable
1502.05345v1,Ba(FeAs)2,iron_pnictide_122,not recorded,38.0,paper-reported (v3.2.1 / Cohort A vision pass),60.0,literature catalog (substructure reference; no per-paper extraction),92,fully fittable
1612.02839v1,Ba(FeAs)2,iron_pnictide_122,not recorded,38.0,paper-reported (v3.2.1 / Cohort A vision pass),60.0,literature catalog (substructure reference; no per-paper extraction),57,fully fittable
1801.05074v1,Ba(FeAs)2,iron_pnictide_122,not recorded,38.0,paper-reported (v3.2.1 / Cohort A vision pass),60.0,literature catalog (substructure reference; no per-paper extraction),156,fully fittable
1802.09868v1,Ba(FeAs)2,iron_pnictide_122,not recorded,38.0,paper-reported (v3.2.1 / Cohort A vision pass),60.0,literature catalog (substructure reference; no per-paper extraction),59,fully fittable
2012.13723v3,Ba(FeAs)2,iron_pnictide_122,not recorded,38.0,paper-reported (v3.2.1 / Cohort A vision pass),60.0,literature catalog (substructure reference; no per-paper extraction),48,fully fittable
2207.06629v1,Ba(FeAs)2,iron_pnictide_122,not recorded,38.0,paper-reported (v3.2.1 / Cohort A vision pass),60.0,literature catalog (substructure reference; no per-paper extraction),102,fully fittable
2308.10492v1,Ba(FeAs)2,iron_pnictide_122,not recorded,38.0,paper-reported (v3.2.1 / Cohort A vision pass),60.0,literature catalog (substructure reference; no per-paper extraction),80,fully fittable
1204.0339v2,BaFeAs2Ru,iron_pnictide_122,not recorded,20.0,paper-reported (v3.2.1 / Cohort A vision pass),30.0,literature catalog (substructure reference; no per-paper extraction),136,fully fittable
1903.00866v2,K(FeAs)2,iron_pnictide_122,not recorded,38.0,paper-reported (v3.2.1 / Cohort A vision pass),10.0,literature catalog (substructure reference; no per-paper extraction),198,fully fittable
2403.19981v1,K(FeAs)2,iron_pnictide_122,not recorded,38.0,paper-reported (v3.2.1 / Cohort A vision pass),10.0,literature catalog (substructure reference; no per-paper extraction),65,fully fittable
